nohup: ignoring input
⛏️  Mining Irium Genesis Block...

Genesis Configuration:
  Timestamp: 1735689600
  Bits: 0x1d00ffff
  Target: 26959535291011309493156476344723991336010898738574164086137773096960
  Merkle root: a0bd470d94bf7ef20539a0a6e2bd30629795f0bad5160d0495e07e85e4a5db04
  Total vesting: 3500000.0 IRM

⛏️  Mining for valid nonce...
  Nonce: 24,000,000 | Hashrate: 206060.15 H/s
  Nonce: 24,100,000 | Hashrate: 206036.48 H/s
  Nonce: 24,200,000 | Hashrate: 205991.71 H/s
  Nonce: 24,300,000 | Hashrate: 205887.42 H/s
  Nonce: 24,400,000 | Hashrate: 205875.43 H/s
  Nonce: 24,500,000 | Hashrate: 205886.48 H/s
  Nonce: 24,600,000 | Hashrate: 205905.71 H/s
  Nonce: 24,700,000 | Hashrate: 205946.48 H/s
  Nonce: 24,800,000 | Hashrate: 206001.71 H/s
  Nonce: 24,900,000 | Hashrate: 206016.13 H/s
  Nonce: 25,000,000 | Hashrate: 206029.16 H/s
  Nonce: 25,100,000 | Hashrate: 206027.02 H/s
  Nonce: 25,200,000 | Hashrate: 206016.39 H/s
  Nonce: 25,300,000 | Hashrate: 205918.36 H/s
  Nonce: 25,400,000 | Hashrate: 205946.29 H/s
  Nonce: 25,500,000 | Hashrate: 205994.32 H/s
  Nonce: 25,600,000 | Hashrate: 206028.90 H/s
  Nonce: 25,700,000 | Hashrate: 206044.77 H/s
  Nonce: 25,800,000 | Hashrate: 206071.88 H/s
  Nonce: 25,900,000 | Hashrate: 206098.39 H/s
  Nonce: 26,000,000 | Hashrate: 206089.21 H/s
  Nonce: 26,100,000 | Hashrate: 205990.77 H/s
  Nonce: 26,200,000 | Hashrate: 206002.71 H/s
  Nonce: 26,300,000 | Hashrate: 206039.03 H/s
  Nonce: 26,400,000 | Hashrate: 206099.44 H/s
  Nonce: 26,500,000 | Hashrate: 206172.82 H/s
  Nonce: 26,600,000 | Hashrate: 206172.19 H/s
  Nonce: 26,700,000 | Hashrate: 206094.24 H/s
  Nonce: 26,800,000 | Hashrate: 206076.92 H/s
  Nonce: 26,900,000 | Hashrate: 206103.87 H/s
  Nonce: 27,000,000 | Hashrate: 206006.08 H/s
  Nonce: 27,100,000 | Hashrate: 205954.15 H/s
  Nonce: 27,200,000 | Hashrate: 205964.94 H/s
  Nonce: 27,300,000 | Hashrate: 205987.94 H/s
  Nonce: 27,400,000 | Hashrate: 205987.94 H/s
  Nonce: 27,500,000 | Hashrate: 205889.47 H/s
  Nonce: 27,600,000 | Hashrate: 205889.87 H/s
  Nonce: 27,700,000 | Hashrate: 205929.18 H/s
  Nonce: 27,800,000 | Hashrate: 205877.26 H/s
  Nonce: 27,900,000 | Hashrate: 205914.48 H/s
  Nonce: 28,000,000 | Hashrate: 205930.66 H/s
  Nonce: 28,100,000 | Hashrate: 205956.59 H/s
  Nonce: 28,200,000 | Hashrate: 205961.66 H/s
  Nonce: 28,300,000 | Hashrate: 205963.94 H/s
  Nonce: 28,400,000 | Hashrate: 205955.26 H/s
  Nonce: 28,500,000 | Hashrate: 205968.70 H/s
  Nonce: 28,600,000 | Hashrate: 205944.73 H/s
  Nonce: 28,700,000 | Hashrate: 205931.46 H/s
  Nonce: 28,800,000 | Hashrate: 205902.46 H/s
  Nonce: 28,900,000 | Hashrate: 205846.77 H/s
  Nonce: 29,000,000 | Hashrate: 205845.34 H/s
  Nonce: 29,100,000 | Hashrate: 205841.79 H/s
  Nonce: 29,200,000 | Hashrate: 205851.45 H/s
  Nonce: 29,300,000 | Hashrate: 205850.03 H/s
  Nonce: 29,400,000 | Hashrate: 205827.35 H/s
  Nonce: 29,500,000 | Hashrate: 205843.81 H/s
  Nonce: 29,600,000 | Hashrate: 205853.23 H/s
  Nonce: 29,700,000 | Hashrate: 205873.00 H/s
